acteurs,annee,description,duree,genre,pays,score,titre,titre_original,url
"Tim Robbins,Morgan Freeman,Bob Gunton",1994,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",2h 22m,Drama,United States,9.3,The Shawshank Redemption,,https://www.imdb.com//title/tt0111161/?ref_=chttp_i_1
"Daveigh Chase,Suzanne Pleshette,Miyu Irino",2001,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",2h 5m,"Animation,Adventure,Family",Japan,8.6,Spirited Away,Original title: Sen to Chihiro no kamikakushi,https://www.imdb.com//title/tt0245429/?ref_=chttp_i_32
"Russell Crowe,Joaquin Phoenix,Connie Nielsen",2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2h 35m,"Action,Adventure,Drama",United States,8.5,Gladiator,,https://www.imdb.com//title/tt0172495/?ref_=chttp_i_37
"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",2019,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2h 12m,"Drama,Thriller",South Korea,8.5,Parasite,Original title: Gisaengchung,https://www.imdb.com//title/tt6751668/?ref_=chttp_i_34
"Michael J. Fox,Christopher Lloyd,Lea Thompson",1985,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1h 56m,"Adventure,Comedy,Sci-Fi",United States,8.5,Back to the Future,,https://www.imdb.com//title/tt0088763/?ref_=chttp_i_31
"Adrien Brody,Thomas Kretschmann,Frank Finlay",2002,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2h 30m,"Biography,Drama,Music",France,8.5,The Pianist,,https://www.imdb.com//title/tt0253474/?ref_=chttp_i_33
"Anthony Perkins,Janet Leigh,Vera Miles",1960,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",1h 49m,"Horror,Mystery,Thriller",United States,8.5,Psycho,,https://www.imdb.com//title/tt0054215/?ref_=chttp_i_36
"Shameik Moore,Hailee Steinfeld,Brian Tyree Henry",2023,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Mi...",2h 20m,"Animation,Action,Adventure",United States,8.6,Spider-Man: Across the Spider-Verse,,https://www.imdb.com//title/tt9362722/?ref_=chttp_i_35
"Mark Hamill,Harrison Ford,Carrie Fisher",1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ...",2h 1m,"Action,Adventure,Fantasy",United States,8.6,Star Wars: Episode IV - A New Hope,Original title: Star Wars,https://www.imdb.com//title/tt0076759/?ref_=chttp_i_30
"Tom Hanks,Michael Clarke Duncan,David Morse",1999,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to hel...",3h 9m,"Crime,Drama,Fantasy",United States,8.6,The Green Mile,,https://www.imdb.com//title/tt0120689/?ref_=chttp_i_28
